mandantory,type,schema_name,name

0,data,dv_pipeline_description,COMPILER_SETTING_DISABLE_REFRESH

0,testdata,dv_pipeline_description,MODEL_PROFILE_TEST00

1,testdata,dv_pipeline_description,ctst_220_r_topo_hub_relation_missing
1,testdata,dv_pipeline_description,ctst_327_l_topo_hub_relation_missing
1,testdata,dv_pipeline_description,ctst_527_d_topo_hub_relation_missing
1,testdata,dv_pipeline_description,etst_100_r_topo_2_to_2

1,testdata,dv_pipeline_description,test00_check_stereotype_and_parameters
1,testdata,dv_pipeline_description,test01_check_model_relations
1,testdata,dv_pipeline_description,test02_check_field_target_table
1,testdata,dv_pipeline_description,test03_check_xsat_specifics
1,testdata,dv_pipeline_description,test04_check_hub_specifics
1,testdata,dv_pipeline_description,test05_check_link_specifics
1,testdata,dv_pipeline_description,test09_check_no_common_field_groups_on_linked_hubs
1,testdata,dv_pipeline_description,test10_bad_model_profile_name
1,testdata,dv_pipeline_description,test11_stage_schema_missing
1,testdata,dv_pipeline_description,test15_sat_without_diff_hash

1,testdata,dv_pipeline_description,test20_simple_hub_sat
1,testdata,dv_pipeline_description,test21_simple_hub_with_2_sats
1,testdata,dv_pipeline_description,test22_one_link_one_esat
1,testdata,dv_pipeline_description,test23_one_link_with_one_satellite
1,testdata,dv_pipeline_description,test24_one_satellite_on_linked_hub
1,testdata,dv_pipeline_description,test25_one_link_one_esat_three_hubs
1,testdata,dv_pipeline_description,test26_link_with_satellite_and_driving_key
1,testdata,dv_pipeline_description,test27_link_with_three_hubs
1,testdata,dv_pipeline_description,test28_transactional_link_with_non_historized_satellite
1,testdata,dv_pipeline_description,test29_link_without_esat
1,testdata,dv_pipeline_description,test30_hub_dlink_sat
1,testdata,dv_pipeline_description,test31_two_links_with_esat
1,testdata,dv_pipeline_description,test32_hub_dlink_sat_driving_key
1,testdata,dv_pipeline_description,test33_simple_hub_msat
1,testdata,dv_pipeline_description,test34_sats_without_diff_hash
1,testdata,dv_pipeline_description,test35_tracking_sat_with_sequence_information
1,testdata,dv_pipeline_description,test40_ref_simple_with_history
1,testdata,dv_pipeline_description,test41_ref_simple_without_history
1,testdata,dv_pipeline_description,test50_double_esat_field_group
1,testdata,dv_pipeline_description,test51_multi_layer_field_group_split
1,testdata,dv_pipeline_description,test61_fg_drive_scenario_1
1,testdata,dv_pipeline_description,test62_fg_drive_scenario_2
1,testdata,dv_pipeline_description,test63_fg_drive_scenario_3
1,testdata,dv_pipeline_description,test64_fg_drive_scenario_4
1,testdata,dv_pipeline_description,test65_fg_drive_scenario_5
1,testdata,dv_pipeline_description,test66_fg_drive_scenario_6
1,testdata,dv_pipeline_description,test67_fg_drive_scenario_7
1,testdata,dv_pipeline_description,test68_fg_drive_scenario_8
1,testdata,dv_pipeline_description,test69_fg_drive_scenario_9_simple_hierarchy
1,testdata,dv_pipeline_description,test70_fg_drive_scenario_10
1,testdata,dv_pipeline_description,test71_fg_drive_scenario_11
1,testdata,dv_pipeline_description,test80_recursive_link_with_common_bk_field
1,testdata,dv_pipeline_description,test81_recursive_link_with_normal_satellite
1,testdata,dv_pipeline_description,test82_double_recursion_and_link
1,testdata,dv_pipeline_description,test90_model_profile_on_pipeline
1,testdata,dv_pipeline_description,test91_model_profile_on_table

1,testdata,dv_pipeline_description,test_120_n_topo_sat
1,testdata,dv_pipeline_description,test_185_n_topo_hub_subset_sat_incomplete
1,testdata,dv_pipeline_description,test_220_r_topo_sat
1,testdata,dv_pipeline_description,test_222_r_topo_sat_subset
1,testdata,dv_pipeline_description,test_227_r_topo_hubsat_subset
1,testdata,dv_pipeline_description,test_282_r_topo_sat_incomplete
1,testdata,dv_pipeline_description,test_285_r_topo_hub_subset_sat_incomplete
1,testdata,dv_pipeline_description,test_327_l_topo_hubsat_subset
1,testdata,dv_pipeline_description,test_427_e_topo_hubsat_subset
1,testdata,dv_pipeline_description,test_482_e_topo_sat_incomplete
1,testdata,dv_pipeline_description,test_485_e_topo_hub_subset_sat_incomplete
1,testdata,dv_pipeline_description,test_527_d_topo_hubsat_subset
1,testdata,dv_pipeline_description,test_622_rc_topo_sat_subset


0,data,dv_pipeline_description,COMPILER_SETTING_ENABLE_REFRESH

1,testdata,dv_pipeline_description,test99_test_atmtst_issue_detection

